Velocity,Intensity
2.00e+02,-1.25e-02
2.01e+02,1.25e-02
2.02e+02,3.50e-02
2.03e+02,6.50e-02
2.04e+02,-1.75e-02
2.05e+02,2.25e-02
2.05e+02,4.75e-02
2.06e+02,-2.25e-02
2.07e+02,-5.50e-02
2.08e+02,2.75e-02
2.09e+02,2.50e-02
2.10e+02,-3.50e-02
2.10e+02,8.75e-02
2.11e+02,1.50e-02
2.12e+02,1.25e-02
2.13e+02,4.50e-02
2.14e+02,-1.00e-02
2.15e+02,-2.00e-02
2.15e+02,2.50e-03
2.16e+02,5.75e-02
2.17e+02,9.50e-02
2.18e+02,-4.75e-02
2.19e+02,2.75e-02
2.19e+02,2.50e-02
2.20e+02,-2.25e-02
2.21e+02,5.00e-03
2.22e+02,0.00e+00
2.23e+02,-1.00e-01
2.24e+02,-1.00e-02
2.24e+02,2.00e-02
2.25e+02,2.75e-02
2.26e+02,4.00e-02
2.27e+02,-4.75e-02
2.28e+02,1.00e-02
2.29e+02,5.00e-03
2.29e+02,1.00e-02
2.30e+02,-1.25e-02
2.31e+02,-3.00e-02
2.32e+02,2.00e-02
2.33e+02,-2.50e-02
2.34e+02,-2.00e-02
2.34e+02,4.75e-02
2.35e+02,2.50e-02
2.36e+02,4.50e-02
2.37e+02,-1.75e-02
2.38e+02,1.25e-02
2.38e+02,-2.50e-02
2.39e+02,-6.25e-02
2.40e+02,6.25e-02
2.41e+02,-5.00e-03
2.42e+02,-7.50e-03
2.43e+02,7.50e-03
2.43e+02,3.25e-02
2.44e+02,-9.50e-02
2.45e+02,-6.00e-02
2.46e+02,-2.49e-03
2.47e+02,4.00e-02
2.48e+02,4.25e-02
2.48e+02,3.75e-02
2.49e+02,-6.00e-02
2.50e+02,-1.75e-02
2.51e+02,1.00e-02
2.52e+02,-3.50e-02
2.53e+02,2.50e-02
2.53e+02,-1.25e-02
2.54e+02,-3.50e-02
2.55e+02,5.25e-02
2.56e+02,-2.00e-02
2.57e+02,2.50e-02
2.57e+02,-7.25e-02
2.58e+02,-1.25e-02
2.59e+02,-2.75e-02
2.60e+02,-5.00e-03
2.61e+02,-3.25e-02
2.62e+02,-1.00e-02
