# Column 1: Channel -> ID
# Column 2: Spectral axis -> Gas velocity in km/s
# Column 3: Intensity axis -> Brightness temperature in K
#
#  Channel     Spectral axis    Intensity
 4.01000E+02   -1.64809E+02   -3.49960E-02
 4.02000E+02   -1.63986E+02   -4.00009E-02
 4.03000E+02   -1.63162E+02    2.00043E-02
 4.04000E+02   -1.62339E+02   -8.99963E-02
 4.05000E+02   -1.61515E+02   -4.99954E-02
 4.06000E+02   -1.60691E+02   -8.99963E-02
 4.07000E+02   -1.59868E+02   -4.24957E-02
 4.08000E+02   -1.59044E+02    4.75006E-02
 4.09000E+02   -1.58220E+02    1.75018E-02
 4.10000E+02   -1.57397E+02    2.50244E-03
 4.11000E+02   -1.56573E+02    4.49982E-02
 4.12000E+02   -1.55750E+02    0.00000E+00
 4.13000E+02   -1.54926E+02   -1.49994E-02
 4.14000E+02   -1.54102E+02   -3.49960E-02
 4.15000E+02   -1.53279E+02    7.25021E-02
 4.16000E+02   -1.52455E+02    7.50046E-02
 4.17000E+02   -1.51631E+02    2.50244E-03
 4.18000E+02   -1.50808E+02    2.50015E-02
 4.19000E+02   -1.49984E+02    5.24979E-02
 4.20000E+02   -1.49160E+02    1.07498E-01
 4.21000E+02   -1.48337E+02    2.50015E-02
 4.22000E+02   -1.47513E+02    1.49994E-02
 4.23000E+02   -1.46689E+02    5.00488E-03
 4.24000E+02   -1.45865E+02   -2.24991E-02
 4.25000E+02   -1.45042E+02   -1.24969E-02
 4.26000E+02   -1.44218E+02    5.75027E-02
 4.27000E+02   -1.43394E+02   -1.10001E-01
 4.28000E+02   -1.42571E+02   -5.50003E-02
 4.29000E+02   -1.41747E+02   -4.24957E-02
 4.30000E+02   -1.40923E+02   -1.00021E-02
 4.31000E+02   -1.40100E+02   -5.24979E-02
 4.32000E+02   -1.39276E+02   -7.49969E-02
 4.33000E+02   -1.38452E+02   -4.49982E-02
 4.34000E+02   -1.37628E+02    1.25046E-02
 4.35000E+02   -1.36805E+02   -8.49991E-02
 4.36000E+02   -1.35981E+02    5.00488E-03
 4.37000E+02   -1.35157E+02   -4.49982E-02
 4.38000E+02   -1.34333E+02    2.99988E-02
 4.39000E+02   -1.33510E+02   -1.24969E-02
 4.40000E+02   -1.32686E+02    3.25012E-02
 4.41000E+02   -1.31862E+02   -1.75018E-02
 4.42000E+02   -1.31038E+02    1.25046E-02
 4.43000E+02   -1.30214E+02    4.25034E-02
 4.44000E+02   -1.29391E+02    3.74985E-02
 4.45000E+02   -1.28567E+02    6.25000E-02
 4.46000E+02   -1.27743E+02    9.50012E-02
 4.47000E+02   -1.26919E+02    2.99988E-02
 4.48000E+02   -1.26095E+02    3.25012E-02
 4.49000E+02   -1.25272E+02    6.75049E-02
 4.50000E+02   -1.24448E+02   -4.99954E-02
 4.51000E+02   -1.23624E+02   -5.24979E-02
 4.52000E+02   -1.22800E+02    3.25012E-02
 4.53000E+02   -1.21976E+02    1.25046E-02
 4.54000E+02   -1.21153E+02    0.00000E+00
 4.55000E+02   -1.20329E+02   -1.49994E-02
 4.56000E+02   -1.19505E+02   -6.99997E-02
 4.57000E+02   -1.18681E+02    4.49982E-02
 4.58000E+02   -1.17857E+02    2.24991E-02
 4.59000E+02   -1.17033E+02   -7.49969E-03
 4.60000E+02   -1.16209E+02   -2.99988E-02
 4.61000E+02   -1.15386E+02   -3.74985E-02
 4.62000E+02   -1.14562E+02    6.00052E-02
 4.63000E+02   -1.13738E+02   -3.25012E-02
 4.64000E+02   -1.12914E+02   -2.49481E-03
 4.65000E+02   -1.12090E+02    3.50037E-02
 4.66000E+02   -1.11266E+02    6.00052E-02
 4.67000E+02   -1.10442E+02   -1.24969E-02
 4.68000E+02   -1.09618E+02    3.74985E-02
 4.69000E+02   -1.08795E+02   -4.00009E-02
 4.70000E+02   -1.07971E+02    0.00000E+00
 4.71000E+02   -1.07147E+02   -2.50015E-02
 4.72000E+02   -1.06323E+02   -2.24991E-02
 4.73000E+02   -1.05499E+02   -1.49994E-02
 4.74000E+02   -1.04675E+02    3.50037E-02
 4.75000E+02   -1.03851E+02   -3.49960E-02
 4.76000E+02   -1.03027E+02    6.25000E-02
 4.77000E+02   -1.02203E+02   -3.25012E-02
 4.78000E+02   -1.01379E+02    2.99988E-02
 4.79000E+02   -1.00555E+02   -4.75006E-02
 4.80000E+02   -9.97313E+01   -1.00021E-02
 4.81000E+02   -9.89074E+01   -4.99954E-02
 4.82000E+02   -9.80834E+01    5.50003E-02
 4.83000E+02   -9.72594E+01    3.50037E-02
 4.84000E+02   -9.64355E+01    1.25046E-02
 4.85000E+02   -9.56115E+01    1.75018E-02
 4.86000E+02   -9.47875E+01    2.50244E-03
 4.87000E+02   -9.39635E+01   -5.50003E-02
 4.88000E+02   -9.31396E+01    5.50003E-02
 4.89000E+02   -9.23156E+01   -4.99725E-03
 4.90000E+02   -9.14916E+01    9.75037E-02
 4.91000E+02   -9.06676E+01    9.00040E-02
 4.92000E+02   -8.98436E+01    3.25012E-02
 4.93000E+02   -8.90196E+01   -4.99725E-03
 4.94000E+02   -8.81955E+01    7.25021E-02
 4.95000E+02   -8.73715E+01   -7.49969E-03
 4.96000E+02   -8.65475E+01   -3.49960E-02
 4.97000E+02   -8.57235E+01   -4.99725E-03
 4.98000E+02   -8.48995E+01    4.00009E-02
 4.99000E+02   -8.40754E+01   -4.49982E-02
 5.00000E+02   -8.32514E+01    2.00043E-02
 5.01000E+02   -8.24273E+01    1.25046E-02
 5.02000E+02   -8.16033E+01    6.75049E-02
 5.03000E+02   -8.07792E+01    6.25000E-02
 5.04000E+02   -7.99552E+01    2.00043E-02
 5.05000E+02   -7.91311E+01   -7.25021E-02
 5.06000E+02   -7.83070E+01   -6.49948E-02
 5.07000E+02   -7.74830E+01   -4.99725E-03
 5.08000E+02   -7.66589E+01   -4.75006E-02
 5.09000E+02   -7.58348E+01    5.00488E-03
 5.10000E+02   -7.50107E+01    3.50037E-02
 5.11000E+02   -7.41866E+01    5.00488E-03
 5.12000E+02   -7.33625E+01   -1.00021E-02
 5.13000E+02   -7.25384E+01   -1.24969E-02
